codigos;productos;uxb;fair_ventas;burzaco_ventas;a_korn_ventas;tucuman_ventas;fair_stock;burzaco_stock;a_korn_stock;tucuman_stock;cdistrib;ventas;stock
473378;ACEITUNAS VERDE RELLENA MORANDO x2kg;4;0.75;0.0;0.0;0.0;0.0;1.75;1.0;0.0;0.0;0.75;2.75
473377;ACEITUNAS VERDE RODAJAS MORANDO x1.6;4;1.0;0.0;0.0;0.0;1.0;1.25;1.0;0.0;0.0;1.0;3.25
465355;ACEITUNAS VERDES CHIRO x 150g;18;1.22;0.0;0.0;0.0;2.88;0.0;5.11;0.0;0.0;1.22;8.0
471088;ACEITUNAS VERDES DESCAR. MORANDO x80;6;3.16;0.0;0.33;0.0;0.0;2.16;0.0;0.0;6.0;3.5;8.16
465356;ACEITUNAS VERDES DESCAROZADA CHIRO x;18;0.16;0.0;0.0;0.0;9.72;0.0;1.11;0.0;0.0;0.16;10.83
464539;ACEITUNAS VERDES MAROLIO x200g;10;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;1.5
473472;ACEITUNAS VERDES RELLENAS MORANDO x1;6;0.0;0.0;0.0;0.0;0.0;1.33;0.0;0.0;0.0;0.0;1.33
471074;ACEITUNAS VERDES RODAJAS MORANDO x80;6;0.5;0.0;0.16;0.0;0.0;0.0;0.0;0.0;3.0;0.66;3.0
469866;ACELGA CONGELADA GREEN LIFE x550gr;1;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0
480153;ACELGA CORTADA E/LATA LA BANDA x350g;6;3.5;0.0;2.0;0.0;8.0;4.66;0.0;0.0;0.0;5.5;12.66
480155;ACELGA CORTADA E/LATA LA BANDA x775g;6;0.83;0.33;0.66;0.0;0.0;3.0;2.66;0.0;0.0;1.83;5.66
10997;ACETO CASALTA NATURAL x250ml;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
477364;ACETO CASALTA ORIGINAL x250cc;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
476292;ACOLCHADO 1 1/2 PLAZA JEAN CARTIER;1;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0
9171;ACOLCHADO CLAS/LUMINOSO X3 PIEZAS TU;1;0.0;0.0;0.0;0.0;4.0;0.0;0.0;17.0;0.0;0.0;21.0
476330;ACOLCHADO J CARTIER L PLUS BASIC 2 1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0
476332;ACOLCHADO JEAN CARTIER 600HQ PLAT KI;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
476334;ACOLCHADO JEAN CARTIER L.HOGAR x2 1/;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
476329;ACOLCHADO JEAN CARTIER L.PLUS x1 1/2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
476326;ACOLCHADO JEAN CARTIER SENSE DUO 1 1;1;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-1.0
476349;ACOLCHADOS SPORT CLUBES 2 1/2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
480534;ACOND KERATINA VEG EST TIO NACHO x41;12;0.0;0.0;0.0;0.0;1.91;0.0;0.0;0.0;0.0;0.0;1.91
4739;ACONDICIONADOR BABY JOHNSONS VS x200;12;0.08;0.25;0.0;0.0;5.5;0.0;0.0;0.0;0.0;0.33;5.5
477330;ACONDICIONADOR KIDS JOHNSONSx200ml.;12;0.16;0.0;0.0;0.0;1.25;0.0;0.0;0.0;0.0;0.16;1.25
480256;ACONDICIONADOR PISOS SUIZA DP x400cc;1;0.0;4.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0
475736;ACONDICIONADOR ZONA LIBRE 2-12 AÑOS;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
469683;ACQUA DI COLBERT (PERFUME+DESOD);1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
404008;ACUARELA EZCO x12 COLORES;1;18.0;0.0;3.0;0.0;4.0;11.0;2.0;16.0;0.0;21.0;33.0
478246;ACUARELA FILGO;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;28.0
473667;ADERMICINA ELEA 2 EN 1 x60G;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
473710;ADERMICINA FACIAL ANT/HUM/UNIF x90g;1;0.0;0.0;0.0;0.0;2.0;0.0;3.0;1.0;0.0;0.0;6.0
9772;ADHES. ECCOLE P/ZAPAT x9g;6;7.16;2.0;3.66;3.0;419.16;297.16;32.66;2.16;0.0;15.83;751.16
11740;ADHES. EL PULPITO x120g;6;0.16;0.16;0.0;0.0;3.33;0.0;3.0;0.0;0.0;0.33;6.33
11739;ADHES. EL PULPITO x50g;6;0.0;0.0;0.0;0.0;13.0;18.0;8.0;1.0;0.0;0.0;40.0
6452;ADHES. FASTIX TRANSPARENTE x25g;6;0.0;0.5;0.0;0.0;0.0;12.0;42.66;0.0;0.0;0.5;54.66
8123;ADHES. LA GOTITA GEL x3g;6;3.16;0.83;3.0;2.5;145.83;106.5;12.0;5.66;0.0;9.5;270.0
5231;ADHES. LA GOTITA x2ml;6;25.66;5.16;10.0;5.16;690.0;139.66;27.33;65.66;0.0;46.0;922.66
463526;ADHES. POXILINA x250g;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7578;ADHES. POXILINA x70g;6;1.16;0.66;0.16;1.16;0.0;4.66;25.33;0.0;0.0;3.16;30.0
5931;ADHES. POXIPOL (AZUL) x21g;6;0.0;0.0;0.0;0.0;47.33;0.0;0.0;1.0;0.0;0.0;48.33
5930;ADHES. POXIPOL TRANSP (ROJO) x16g;6;0.16;0.0;0.16;0.16;-1.0;3.83;2.5;0.0;0.0;0.5;5.33
5365;ADHES. POXIRAN x23g;6;2.5;0.33;0.83;1.66;13.0;3.83;-3.16;8.0;0.0;5.33;21.66
11767;ADHES. POXITAS x12u;1;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
6792;ADHES. SUPER GLUE XUN;6;0.0;0.0;0.0;1.16;0.0;0.0;0.0;2.33;0.0;1.16;2.33
