[110l

[2u[12c  
Emanuel			Server emanuel                                                           (nauxest1 ) Pagina:    1 
                                                                                               Fecha : 24/06/2026
                                                                                               Hora  : 08:51:13
     Estadistica: Ranking de Articulos por Cantidad                  Del 23/06/2026 al 23/06/2026 - Código VT 100 
***************************************************************************************************************************
[¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ DATOS DEL ANALISIS ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡] [¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ PORCENTAJES ¡¡¡¡¡¡¡¡¡¡¡¡¡¡]
       CAMPO            CODIGO            DESCRIPCION              TOTAL         NIVEL    NIV.6  NIV.5  NIV.4  NIV.3  NIV.2
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡
                                                                      51282,31 6  ****** 100,00                            
Sucursal             01          Fair   .                             25573,72 5  *****   49,87 100,00                     
Artículo             000012277   SALCHICHAS 214 x6un. 225gr              39,00 4  ****     0,08   0,15 100,00              
Artículo             000011730   LEVADURA CALSA x 50G 0                  39,00 4  ****     0,08   0,15 100,00              
Artículo             000008036   TOALL.FEM DONCELLA NORMAL C/            39,00 4  ****     0,08   0,15 100,00              
Artículo             000002776   AGUA SAB. PLACER X1.5LT MANZ            39,00 4  ****     0,08   0,15 100,00              
Artículo             000475880   RAVIOLES POLL/VERDURA ELUN C            38,00 4  ****     0,07   0,15 100,00              
Artículo             000002658   GALL FUTURO PEPAS 170G                  38,00 4  ****     0,07   0,15 100,00              
Artículo             000000357   AZUCAR HILERET LIGHT x250grs            38,00 4  ****     0,07   0,15 100,00              
Artículo             000475499   FIDEO SOL PAMPEANO x500g COD            37,00 4  ****     0,07   0,14 100,00              
Artículo             000469016   BASTONCITOS DE QUESO CAPULLI            37,00 4  ****     0,07   0,14 100,00              
Artículo             000006135   AGUA MINERAL CIMES BIDON x6L            37,00 4  ****     0,07   0,14 100,00              
Artículo             000002763   GALL PITUSAS 160G MOSSE MOSS            37,00 4  ****     0,07   0,14 100,00              
Artículo             000002212   GASEOSA MANAOS x2.25Lt POMEL            37,00 4  ****     0,07   0,14 100,00              
Artículo             000475580   LECHE CHOCOLATADA CHO-CHOCO             36,00 4  ****     0,07   0,14 100,00              
Artículo             000464682   ROLLO DE COCINA CHANITA 3X50            36,00 4  ****     0,07   0,14 100,00              
Artículo             000463768   LECHE LA SERENISIMA 1% TTB L            36,00 4  ****     0,07   0,14 100,00              
Artículo             000001398   FIDEO LUCCHETTI x500g TIRABU            36,00 4  ****     0,07   0,14 100,00              
Artículo             000000561   CERVEZA BRAHMA X1LT                     36,00 4  ****     0,07   0,14 100,00              
Artículo             000479374   LAMPARA LEDVANCE 100W L/FRIA            35,00 4  ****     0,07   0,14 100,00              


Emanuel			Server emanuel                                                           (nauxest1 ) Pagina:    3 
                                                                                               Fecha : 24/06/2026
                                                                                               Hora  : 08:51:13
     Estadistica: Ranking de Articulos por Cantidad                  Del 23/06/2026 al 23/06/2026 - Código VT 100 
***************************************************************************************************************************
